Time,	NewLatentPB,	NewInfectiousPB,	NewInfectiousIdentifiedPB,	NewInfectiousUnderTreatmeanPB,	NewInfectiousNotCuredPB,	NewRecoveredLatentPB,	NewRelapsePB
183,	0.260000,	0.230000,	0.695000,	2.500000,	0.020000,	0.615000,	0.000000
184,	0.180000,	0.195000,	0.670000,	2.340000,	0.015000,	0.540000,	0.000000
185,	0.200000,	0.190000,	0.575000,	2.220000,	0.015000,	0.470000,	0.000000
186,	0.280000,	0.260000,	0.635000,	2.090000,	0.015000,	0.345000,	0.000000
187,	0.205000,	0.195000,	0.470000,	1.675000,	0.015000,	0.375000,	0.000000
188,	0.210000,	0.200000,	0.605000,	1.900000,	0.015000,	0.410000,	0.000000
189,	0.215000,	0.235000,	0.580000,	1.825000,	0.005000,	0.320000,	0.000000
190,	0.180000,	0.150000,	0.395000,	1.510000,	0.010000,	0.360000,	0.000000
191,	0.180000,	0.220000,	0.510000,	1.650000,	0.005000,	0.340000,	0.000000
192,	0.190000,	0.185000,	0.520000,	1.680000,	0.010000,	0.370000,	0.000000
193,	0.140000,	0.155000,	0.470000,	1.635000,	0.000000,	0.310000,	0.000000
194,	0.210000,	0.215000,	0.400000,	1.220000,	0.000000,	0.270000,	0.000000
195,	0.145000,	0.145000,	0.405000,	1.325000,	0.005000,	0.345000,	0.000000
196,	0.190000,	0.175000,	0.430000,	1.295000,	0.015000,	0.225000,	0.000000
197,	0.170000,	0.155000,	0.375000,	1.085000,	0.010000,	0.220000,	0.000000
198,	0.160000,	0.135000,	0.405000,	1.155000,	0.010000,	0.235000,	0.000000
199,	0.190000,	0.205000,	0.410000,	1.145000,	0.005000,	0.210000,	0.000000
200,	0.195000,	0.165000,	0.285000,	0.920000,	0.005000,	0.240000,	0.000000
201,	0.160000,	0.165000,	0.350000,	0.990000,	0.015000,	0.205000,	0.000000
202,	0.135000,	0.160000,	0.340000,	0.840000,	0.005000,	0.165000,	0.000000
203,	0.100000,	0.100000,	0.255000,	0.830000,	0.005000,	0.180000,	0.000000
204,	0.175000,	0.150000,	0.340000,	0.960000,	0.000000,	0.265000,	0.000000
205,	0.155000,	0.145000,	0.340000,	0.960000,	0.000000,	0.240000,	0.000000
206,	0.205000,	0.220000,	0.340000,	0.845000,	0.000000,	0.160000,	0.000000
207,	0.120000,	0.130000,	0.285000,	0.760000,	0.005000,	0.165000,	0.000000
208,	0.125000,	0.110000,	0.275000,	0.730000,	0.010000,	0.150000,	0.000000
209,	0.130000,	0.115000,	0.235000,	0.670000,	0.000000,	0.140000,	0.000000
210,	0.195000,	0.210000,	0.340000,	0.750000,	0.005000,	0.205000,	0.000000
211,	0.155000,	0.135000,	0.280000,	0.685000,	0.015000,	0.160000,	0.000000
212,	0.170000,	0.165000,	0.275000,	0.735000,	0.005000,	0.160000,	0.000000
