Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
185,	14.100000,	82.180000,	17.810001,	108.820000,	1.450000,	101.440000,	6.250000,	0.000000
186,	13.800000,	80.840004,	17.030001,	108.120003,	1.280000,	99.150002,	6.170000,	0.000000
187,	13.210000,	79.959999,	17.379999,	106.349998,	1.110000,	98.450005,	6.170000,	0.000000
188,	13.000000,	79.389999,	17.260000,	105.370003,	1.120000,	97.770003,	5.980000,	0.000000
189,	13.110000,	78.119995,	16.850000,	104.330002,	1.160000,	96.129997,	6.240000,	0.000000
190,	12.920000,	77.750000,	16.190001,	102.959999,	1.180000,	95.119995,	5.990000,	0.000000
191,	12.610001,	76.339996,	15.950001,	102.239998,	1.140000,	93.430002,	5.390000,	0.000000
192,	12.460000,	75.349998,	16.790001,	101.250000,	1.210000,	93.350001,	5.390000,	0.000000
193,	12.640000,	74.940002,	16.450001,	101.049995,	1.220000,	92.610001,	5.100000,	0.000000
194,	12.560000,	74.040001,	16.260000,	99.760002,	1.170000,	91.469999,	5.000000,	0.000000
195,	12.650001,	73.530006,	15.760000,	98.570000,	1.180000,	90.470003,	5.320000,	0.000000
196,	12.140000,	73.079994,	15.140000,	97.910004,	1.120000,	89.339992,	5.140000,	0.000000
197,	12.240001,	71.650002,	15.020000,	96.230003,	1.110000,	87.779998,	5.170000,	0.000000
198,	11.820000,	70.900002,	15.010000,	94.820000,	1.170000,	87.080000,	5.420000,	0.000000
199,	11.490000,	69.930000,	15.490000,	93.599998,	1.240000,	86.660000,	4.930000,	0.000000
200,	11.420000,	69.239998,	14.430000,	92.580002,	1.280000,	84.949998,	4.790000,	0.000000
