Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
169,	9.635000,	72.130005,	0.030000,	124.895004,	1.740000,	73.900002,	9.330000,	0.000000
170,	9.310000,	70.705002,	0.035000,	122.029999,	1.720000,	72.459999,	8.860000,	0.000000
171,	9.429999,	68.894997,	0.010000,	118.709999,	1.615000,	70.520000,	8.610001,	0.000000
172,	8.860000,	66.635002,	0.025000,	115.705002,	1.610000,	68.270000,	8.430000,	0.000000
173,	8.370000,	64.940002,	0.025000,	112.974998,	1.555000,	66.520003,	7.815000,	0.000000
174,	8.255000,	62.889999,	0.050000,	110.110001,	1.500000,	64.440001,	7.745000,	0.000000
175,	8.165000,	61.864998,	0.020000,	107.199997,	1.460000,	63.344997,	7.140000,	0.000000
176,	8.070000,	60.395000,	0.020000,	104.349998,	1.475000,	61.890000,	7.155000,	0.000000
177,	7.780000,	59.029999,	0.005000,	101.889999,	1.405000,	60.440001,	7.085000,	0.000000
178,	7.405000,	58.024998,	0.025000,	99.020004,	1.385000,	59.434999,	7.085000,	0.000000
179,	7.415000,	56.805000,	0.015000,	97.080002,	1.360000,	58.179998,	6.525000,	0.000000
180,	7.275000,	55.700001,	0.035000,	94.785004,	1.290000,	57.025002,	6.265000,	0.000000
181,	7.350000,	54.180000,	0.020000,	92.800003,	1.290000,	55.489997,	6.175000,	0.000000
182,	7.305000,	53.300003,	0.040000,	90.175003,	1.270000,	54.610001,	5.885000,	0.000000
